"Operational State","Connection State","Rate","Name","Protection","From Node #1","From Port #1","To Node #1","To Port #1","From Node #2","From Port #2","To Node #2","To Port #2","PM 15M","PM 24H","Connection Type","Deploy Type","Category","Alarm Status","Server Alarm Status","Service State","OLC State","Implementation Status","Allow ASON Resources","ASAP","Alias","Alias 2","Order Number","Customer","Group Order Name","Created Date","Enable NIM","Latest Note","NPA Name","Channel Width","Actual Latency - WORK (microsec)","Actual Latency - PROTECT(microsec)","Latency Status","Latency Timestamp","Reservation","Reservation Expiry Date","Test Status","BER Measurement Result","TCM Enabled","TCM ASAP Enabled","Wave Key","NML ASAP","From NE #1","To NE #1","ASE Control Mode","Order ID"
"Degraded","Commissioned","10GbE","WES_CCTY_PS36_01-01-20-09_FSDC_PS64_01-01-13-09_10G","SNC-N Server Protected","WES-CCTY-1","GBE10-1-1-20-9","WES-FSDC-1","GBE10-1-1-13-9","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Major","In Service","In Service","Completed","No","Not Set","4003_TID466315_WES_CFO 8665-2 POC 1_CCTY 8665-2 POC 2_VDC_A44099_ BEP_1","A44099","A44099","","g-WES_CCTY_PS36_01-01-20-09_FSDC_PS64_01-01-13-09_10G","Fri Nov 01 2019 15:26:00 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","WES-CCTY-1#OCS","WES-FSDC-1#OCS","NA","129316"
"Up","Commissioned","10GbE","WES_CCTY_PS36_01-02-20-09_CTE_PS64_01-03-48-06_10G","SNC-N Server Protected","WES-CCTY-1","GBE10-1-2-20-9","WES-CTE-1","GBE10-1-3-48-6","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","4003_TID466302_WES_CTE 8665-1 POC 1_CCTY 8665-1 POC 2_VDC_A37241_ A44102_10G_BEP_1","A44102","A44102","","g-WES_CCTY_PS36_01-02-20-09_CTE_PS64_01-03-48-06_10G","Fri Nov 01 2019 15:30:36 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","WES-CCTY-1#OCS","WES-CTE-1#OCS","NA","129322"
"Up","Commissioned","10GbE","SGC_MTA_PS64_01-01-16-09_SGC_BR_PS36_01-01-20-06_10G_1","SNC-N Server Protected","SGC-MTA-1","GBE10-1-1-16-9","SGC-BR-1","GBE10-1-1-20-6","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","BR_ABR-MTA_ASBR-10G-BEP1.0","A44131","A44131","","g-SGC_MTA_PS64_01-01-16-09_SGC_BR_PS36_01-01-20-06_10G_1","Wed Nov 06 2019 14:55:46 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","SGC-MTA-1#OCS","SGC-BR-1#OCS","NA","129491"
"Up","Commissioned","10GbE","SGC_MDP_PS64_01-02-21-06_SGC_BR_PS36_01-02-20-06_10G_1","SNC-N Server Protected","SGC-MDP-1","GBE10-1-2-21-6","SGC-BR-1","GBE10-1-2-20-6","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","BR_ABR-MDP_ASBR-10G-BEP1.0","A44134","A44134","","g-SGC_MDP_PS64_01-02-21-06_SGC_BR_PS36_01-02-20-06_10G_1","Wed Nov 06 2019 15:05:18 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","SGC-MDP-1#OCS","SGC-BR-1#OCS","NA","129503"
"Up","Commissioned","10GbE","SGS_SP_PS36_01-01-20-08_NLD1_HDB_PS32_01-01-16-C2_10G_1","Unprotected","SGS-SP-1","GBE10-1-1-20-8","NLD1-HDB-1","43SCX4E-1-16-C2","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","BEP1.0_SGS_SP_PS36_01-01-20-08_NLD1_HDB_PS32_01-01-16-C2_10G_1","A44264","A44264","","g-SGS_SP_PS36_01-01-20-08_NLD1_HDB_PS32_01-01-16-C2_10G_1","Tue Nov 12 2019 10:50:43 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","SGS-SP-1#OCS","NLD1-HDB-1","NA","130403"
"Up","Commissioned","1GbE","SGC_MTA_PS64_01-01-45-05_SGC_Teraco_PS36_01-01-12-15_1G_1","SNC-N Server Protected","SGC-MTA-1","GBE-1-1-45-5","SGC-Teraco-1","GBE-1-1-12-15","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","Automatic In Service","In Service","Completed","No","Not Set","FTTX_BONIQ_TERACO_TO_MTA_1GE-1","A44353","A44353","","g-SGC_MTA_PS64_01-01-45-05_SGC_Teraco_PS36_01-01-12-15_1G_1","Thu Nov 14 2019 09:01:12 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","SGC-MTA-1#OCS","SGC-Teraco-1#OCS","NA","131577"
"Up","Commissioned","STM-16","DFA_EMH_PS36_01-01-12-3_NGA_PSI_PS64_01-01-47-17_STM16_1","Unprotected","DFA-EMH-1","STM16-1-1-12-3","NGA-PSI-1","STM16-1-1-47-17","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","CORIANT TRUNK TID_772499_PSI_TO_EMH_OTN1","A44365","A44365","","g-DFA_EMH_PS36_01-01-12-3_NGA_PSI_PS64_01-01-47-17_STM16_1","Thu Nov 14 2019 16:54:32 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","DFA-EMH-1#OCS","NGA-PSI-1#OCS","NA","131616"
"Up","Commissioned","STM-16","DFA_EMH_PS36_01-02-12-3_NGA_PSI_PS64_01-02-46-11_STM16_1","Unprotected","DFA-EMH-1","STM16-1-2-12-3","NGA-PSI-1","STM16-1-2-46-11","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","CORIANT TRUNK TID_772502_PSI_TO_EMH_OTN2","A44368","A44368","","g-DFA_EMH_PS36_01-02-12-3_NGA_PSI_PS64_01-02-46-11_STM16_1","Thu Nov 14 2019 16:58:38 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","DFA-EMH-1#OCS","NGA-PSI-1#OCS","NA","131624"
"Up","Commissioned","STM-16","SGC_RS_PS36_01-02-12-02_SGC_JGE_PS64_01-02-46-04_STM16_1","Unprotected","SGC-JGE-1","STM16-1-2-46-4","SGC-RS-1","STM16-1-2-12-2","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","TID748302_SGA_RS_LX1-JGE_6350-4-STM16-01_VIA_NOKIA_MATE2_A","A44474","A44474","","g-SGC_RS_PS36_01-02-12-02_SGC_JGE_PS64_01-02-46-04_STM16_1","Thu Nov 21 2019 23:34:37 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","SGC-JGE-1#OCS","SGC-RS-1#OCS","NA","132654"
"Up","Commissioned","100GbE","WES_PS64_FSDC_01-03-05-L1_MTA_PS36_01-06-08-L1_100G","SNC-N Server Protected","WES-FSDC-1","GBE100-1-3-5-1","SGC-MTA-1","GBE100-1-6-8-1","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","9001_WES_PS64_FSDC_01-03-05-L1_MTA_PS36_01-06-08-L1_100G_CDN004","A44697","A44697","","g-WES_PS64_FSDC_01-03-05-L1_MTA_PS36_01-06-08-L1_100G","Fri Nov 29 2019 08:50:41 GMT+0200 (South Africa Standard Time)","N/A","CDN104","BBNS","","8080","0","SUCCESS","Tue Mar 15 2022 10:29:38 GMT+0200 (South Africa Standard Time)","N/A","","None","","None","None","N/A","default ASAP","WES-FSDC-1#OCS","SGC-MTA-1#OCS","NA","135851"
